Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/28,Monday,TIKTOK,173,Social Media
8/28,Monday,YOUTUBE,120,Entertainment
8/28,Monday,MESSAGES,113,Social Media
8/28,Monday,X,60,Social Media
8/28,Monday,INSTAGRAM ,50,Social Media
8/28,Monday,YOUTUBE MUSIC,23,Entertainment
8/28,Monday,BRANDY US,23,Other
8/29,Tuesday,YOUTUBE,150,Entertainment
8/29,Tuesday,MESSAGES,120,Social Media
8/29,Tuesday,TIKTOK,60,Social Media
8/29,Tuesday,INSTAGRAM,50,Social Media
8/29,Tuesday,X,27,Social Media
8/30,Wednesday,TIKTOK,180,Social Media
8/30,Wednesday,INSTAGRAM,,Social Media
8/30,Wednesday,MESSAGES,,Social Media
8/30,Wednesday,YOUTUBE,,Entertainment
8/30,Wednesday,SAFARI ,,Education
8/30,Wednesday,YOUTUBE MUSIC,,Entertainment
,Wednesday,Photos ,,Other
